,GDP_based,BEA_average,Optimal,BLS_official,Diff_Optimal_GDP,Diff_Optimal_BLS
1990-04-01,7.628785661416562,8.011157141784714,8.03095448970712,2.765891612915825,0.40216882829055844,5.265062876791296
1990-07-01,5.752531566975013,5.480289486888571,5.46619614826141,1.3143044990218349,-0.2863354187136027,4.151891649239575
1990-10-01,1.0148093864840242,1.9091670630696067,1.9554280361882441,-4.1837720725361,0.9406186497042199,6.139200108724344
1991-01-01,5.953954962674868,6.473399213435223,6.50021775944986,1.234260294430485,0.5462627967749913,5.265957465019374
1991-04-01,8.572737879228601,7.6095158795551425,7.55975636682863,6.487551514202275,-1.0129815123999713,1.0722048526263546
1991-07-01,5.558951561026083,5.097946407765893,5.074086511114071,3.379418251277857,-0.4848650499120115,1.6946682598362144
1991-10-01,4.471183686968625,4.475966404692791,4.476214088714289,1.9097592962594219,0.005030401745663937,2.5664547924548673
1992-01-01,8.598308875098851,9.609341020825383,9.661629781284658,7.8245664400755475,1.0633209061858064,1.8370633412091104
1992-04-01,5.1009953884135175,4.612477061851953,4.587229129425298,3.3293812569397394,-0.5137662589882197,1.2578478724855584
1992-07-01,5.252363271314861,3.9369594629962914,3.86881442885909,3.611265973794487,-1.3835488424557711,0.2575484550646028
1992-10-01,4.278342662002475,4.081424340758559,4.071202606485855,2.3318811775572357,-0.2071400555166205,1.7393214289286192
1993-01-01,-0.585842225150929,-1.6028759684236085,-1.6557530170562662,-3.435098786428059,-1.0699107919053372,1.779345769371793
1993-04-01,0.17867123563003984,1.3961419401920234,1.4594233222845359,-2.345553745323231,1.2807520866544961,3.8049770676077665
1993-07-01,1.930687107430339,1.3800195621806959,1.351422200428461,1.7895671029256586,-0.5792649070018778,-0.4381449024971975
1993-10-01,3.770970152083369,4.909701182459714,4.968792266921489,1.5432192640677622,1.1978221148381198,3.425573002853727
1994-01-01,3.2566832495656803,2.4346605370611716,2.3920218630949517,1.1005018727117113,-0.8646613864707287,1.2915199903832404
1994-04-01,0.9112596380181599,1.2921210898685842,1.3118879978332567,0.3982656503739613,0.4006283598150968,0.9136223474592955
1994-07-01,-0.08011839508289792,0.6141029965303082,0.650082557543966,-2.285775695431073,0.730200952626864,2.9358582529750388
1994-10-01,5.08480522141154,5.185660024013699,5.190881585670963,4.2136754748453225,0.10607636425942335,0.9772061108256409
1995-01-01,1.624635740485925,1.7423151670507664,1.748406040754762,0.24911572709419408,0.12377030026883684,1.4992903136605678
1995-04-01,3.6987046023783434,4.263445700576883,4.292649466223612,1.8793284926875136,0.5939448638452682,2.413320973536098
1995-07-01,0.781232892798102,1.5336701089164195,1.5725126614881086,-0.038135795239670554,0.7912797686900066,1.6106484567277792
1995-10-01,3.62025874413724,3.5656479707588327,3.562831421360482,2.1869235569382455,-0.05742732277675788,1.3759078644222367
1996-01-01,4.105147072087187,4.827989849565724,4.865237724183387,2.44529586633381,0.7600906520961992,2.419941857849577
1996-04-01,4.560505985845423,4.15096921114494,4.129874593227768,3.882888235920573,-0.4306313926176548,0.2469863573071951
1996-07-01,1.56771516595163,1.6113524577968548,1.613601229642267,1.4781936919454886,0.04588606369063708,0.1354075376967785
1996-10-01,1.7803336972579058,2.169243327028874,2.1892737171625383,0.40276049224565424,0.40894001990463247,1.786513224916884
1997-01-01,1.5123217267027103,2.412572463811541,2.4588604647547565,-0.8741953213346908,0.9465387380520462,3.333055786089447
1997-04-01,5.465381306864797,4.735052227758038,4.697509440818137,5.871721592963711,-0.7678718660466606,-1.1742121521455742
1997-07-01,4.291852712396189,5.005385041074733,5.042065195430738,3.2043057651904356,0.7502124830345496,1.8377594302403026
1997-10-01,2.8566264288103866,3.8518676327458334,3.9029146815273523,1.936903232294455,1.0462882527169657,1.9660114492328973
1998-01-01,2.118889487511329,2.0731407578311325,2.070797180275131,3.6843907891541647,-0.04809230723619784,-1.6135936088790337
1998-04-01,2.5265427696614764,3.6064793136769033,3.661726289813854,2.0051962142558555,1.1351835201523777,1.6565300755579986
1998-07-01,6.1385240983560525,6.392299680410328,6.405259499113863,5.410162073994482,0.26673540075781066,0.9950974251193809
1998-10-01,2.5830161252445256,1.2907258558331145,1.2246409971906678,3.0190147264387712,-1.3583751280538578,-1.7943737292481035
1999-01-01,5.6262767149826125,6.533176403896435,6.5795767212413665,5.516610235625939,0.953300006258754,1.0629664856154273
1999-04-01,2.651581313807281,1.9479636888510647,1.911973645994441,1.4575728057156532,-0.7396076678128398,0.4544008402787878
1999-07-01,4.1097728388002475,3.4271757368949696,3.3921972394855913,3.643568096338254,-0.7175755993146562,-0.2513708568526627
1999-10-01,7.060415838045346,6.708115459355037,6.690037875031934,5.865596044662858,-0.37037796301341164,0.8244418303690759
2000-01-01,2.234883967479822,5.461583020179811,5.6265309075160514,-1.6366359743679308,3.3916469400362295,7.263166881883983
2000-04-01,8.632761455786023,6.340336984023262,6.223292875848905,8.001434447276514,-2.4094685799371174,-1.778141571427609
2000-07-01,2.769675888606281,4.3967849810632185,4.479932726638053,-0.38003706842946927,1.7102568380317718,4.859969795067522
2000-10-01,6.055659323923235,4.905961101187213,4.847246639728925,4.182492900547387,-1.2084126841943101,0.6647537391815384
2001-01-01,1.4251150923321287,4.150967101303312,4.289887173305819,-2.274939483629229,2.8647720809736903,6.564826656935048
2001-04-01,8.822204403525545,7.349949269857914,7.275040973129604,6.840283047617975,-1.5471634303959405,0.4347579255116294
2001-07-01,4.778787179271249,4.545410192490305,4.533509350368456,2.2471969216893095,-0.24527782890279326,2.286312428679146
2001-10-01,6.967050659059598,4.770708213276747,4.658349506472778,5.018445241364198,-2.3087011525868206,-0.36009573489142
2002-01-01,7.851845610986512,8.57950230328516,8.61679903462968,8.278506239271675,0.7649534236431688,0.33829279535800616
2002-04-01,3.0121711686561725,3.6750521490018464,3.708966714352834,0.6425121528629772,0.6967955456966615,3.0664545614898566
2002-07-01,4.969807734167313,4.736009731543987,4.724054813758158,3.058469813707369,-0.24575292040915464,1.6655850000507892
2002-10-01,2.196967335159296,3.4147024592568007,3.4768891396108432,-0.5295596560129605,1.279921804451547,4.006448795623804
2003-01-01,6.077589809941827,4.909676942174861,4.850038465651787,3.891031463129087,-1.22755134429004,0.9590070025227
2003-04-01,6.215650668718472,6.069388571032392,6.061906917291009,5.248881112188811,-0.15374375142746288,0.8130258051021979
2003-07-01,8.284779916395784,7.128421113425613,7.069169259281545,8.709457930133963,-1.2156106571142393,-1.640288670852418
2003-10-01,5.152159414994671,4.530104268326185,4.498155577343009,3.7512517830045744,-0.6540038376516621,0.7469037943384342
2004-01-01,3.351435152329269,3.870584616694058,3.8972516872240925,-1.1715469121963145,0.5458165348948234,5.068798599420407
2004-04-01,5.895196184271729,6.608707369104505,6.6452988678889655,4.167742853048433,0.7501026836172366,2.4775560148405322
2004-07-01,4.052222040587707,4.61214536858316,4.64081230077536,1.8679105058642687,0.5885902601876527,2.772901794911091
2004-10-01,4.88564170057551,3.9509023025343244,3.9030219681668874,1.7345893424640515,-0.9826197324086228,2.168432625702836
2005-01-01,6.494221975666753,6.01040878978386,5.985580099374845,4.27301502546893,-0.5086418762919083,1.7125650739059148
2005-04-01,2.804367813571415,3.7254987199029523,3.7727428614335423,-0.3416856699795582,0.9683750478621271,4.1144285314131
2005-07-01,5.730291402695873,5.655994328976238,5.6521879246229805,2.7159167019993613,-0.07810347807289286,2.936271222623619
2005-10-01,2.9068083611135216,4.8018228616624405,4.898676788300546,0.023576981799532125,1.9918684271870242,4.875099806501014
2006-01-01,3.878199550244079,4.289232406862623,4.310176666831551,2.753640873323506,0.43197711658747195,1.5565357935080453
2006-04-01,3.602640987729386,3.9013163024492044,3.9165211790339995,-0.44043579476221206,0.31388019130461364,4.356956973796212
2006-07-01,1.858147304864395,2.3345710819960104,2.3588000451184667,-0.7836744862082443,0.5006527402540717,3.142474531326711
2006-10-01,2.9743610126792235,1.7014373450263454,1.636633863209873,2.584520649994946,-1.3377271494693506,-0.9478867867850729
2007-01-01,5.190134946836432,4.5784761698652625,4.547259953924342,1.4302118042093157,-0.6428749929120903,3.1170481497150258
2007-04-01,3.4801811438591206,3.221592552036004,3.2083802978860065,1.202631369862585,-0.27180084597311405,2.0057489280234213
2007-07-01,5.5315250498994875,2.655030119399424,2.5074522209947707,3.4852473484180635,-3.0240728289047167,-0.9777951274232928
2007-10-01,5.216756044995,4.044883698053051,3.984440436127776,3.140610374577646,-1.232315608867224,0.84383006155013
2008-01-01,1.1319235838072812,1.8601308097370755,1.8977124506873821,-2.6445318571044854,0.765788866880101,4.542244307791868
